qname	chrom	pos	end	is_reverse	tlen	cigar	mapq	nm	zf	zw	zc	zs	zl	zn	zt	zr	zg	pred
A00839:75:H7MFFDSXY:3:1237:23294:34507	chr2	178568987	178569136	True	-355	150M	255	0	25	0.11680469661951065	ambig_opp_strand	unspliced	12994	44	RIGEL_NRNA_chr2_1_178540115_178582663		RIGEL_NRNA_chr2_1_178540115_178582663	nrna
A00839:75:H7MFFDSXY:3:2620:27679:23156	chr2	178564698	178564847	True	-371	150M	255	1	25	0.10122967511415482	ambig_opp_strand	unspliced	12994	44	RIGEL_NRNA_chr2_1_178523417_178776534		RIGEL_NRNA_chr2_1_178523417_178776534	nrna
A00839:75:H7MFFDSXY:3:1109:32190:30091	chr2	178568371	178568520	False	254	150M	255	0	25	0.7382131814956665	ambig_opp_strand	unspliced	12994	44	RIGEL_NRNA_chr2_2_178525988_178804642		RIGEL_NRNA_chr2_2_178525988_178804642	nrna
A00839:75:H7MFFDSXY:3:1136:12436:10316	chr2	178566723	178566872	True	-492	150M	255	0	5	0.7379854917526245	ambig_opp_strand	unspliced	-1	44	.	.	.	mrna
A00839:75:H7MFFDSXY:3:2504:11894:28573	chr2	178567231	178567380	False	376	150M	255	0	5	0.7549564838409424	ambig_opp_strand	unspliced	-1	44	.	.	.	mrna
A00839:75:H7MFFDSXY:3:2549:15420:12633	chr2	178561897	178562046	True	-345	150M	255	0	5	0.22847801446914673	ambig_opp_strand	unspliced	-1	44	.	.	.	mrna
A00839:75:H7MFFDSXY:3:1244:31268:14998	chr2	178562901	178563050	True	-330	150M	255	0	25	0.15307945013046265	ambig_opp_strand	unspliced	12994	44	RIGEL_NRNA_chr2_1_178541746_178597681		RIGEL_NRNA_chr2_1_178541746_178597681	nrna
A00839:75:H7MFFDSXY:3:1236:18276:2112	chr2	178560919	178561068	False	409	150M	255	0	5	0.8678779006004333	ambig_opp_strand	unspliced	-1	44	.	.	.	mrna
A00839:75:H7MFFDSXY:3:2461:7898:22936	chr2	178561504	178561653	True	-293	150M	255	0	5	0.056312721222639084	ambig_opp_strand	unspliced	-1	44	.	.	.	mrna
A00839:75:H7MFFDSXY:3:1422:1334:13730	chr2	178568221	178568370	False	244	150M	255	0	25	0.742788553237915	ambig_opp_strand	unspliced	12994	44	RIGEL_NRNA_chr2_2_178525988_178804642		RIGEL_NRNA_chr2_2_178525988_178804642	nrna
A00839:75:H7MFFDSXY:3:2142:4083:29042	chr2	178569987	178570136	False	304	150M	255	1	25	0.6738656759262085	ambig_opp_strand	unspliced	12994	44	RIGEL_NRNA_chr2_2_178525988_178804642		RIGEL_NRNA_chr2_2_178525988_178804642	nrna
A00839:75:H7MFFDSXY:3:1376:5954:19946	chr2	178566040	178566189	False	213	150M	255	0	3	0.09146514534950256	ambig_opp_strand	unspliced	12994	44	ENST00000460472.6	TTN	ENSG00000155657.29	mrna
A00839:75:H7MFFDSXY:3:2560:18141:36980	chr2	178566692	178566841	True	-369	150M	255	0	5	0.490247517824173	ambig_opp_strand	unspliced	-1	44	.	.	.	mrna
A00839:75:H7MFFDSXY:3:1132:24758:20541	chr2	178563442	178563591	False	262	150M	255	0	25	0.7325161695480347	ambig_opp_strand	unspliced	12994	44	RIGEL_NRNA_chr2_2_178525988_178804642		RIGEL_NRNA_chr2_2_178525988_178804642	nrna
A00839:75:H7MFFDSXY:3:2240:26259:25144	chr2	178569380	178569529	True	-372	150M	255	0	5	0.5297805070877075	ambig_opp_strand	unspliced	-1	44	.	.	.	mrna
A00839:75:H7MFFDSXY:3:1522:3631:31923	chr2	178567103	178567252	True	-354	150M	255	0	25	0.1259024441242218	ambig_opp_strand	unspliced	12994	44	RIGEL_NRNA_chr2_1_178539804_178576557		RIGEL_NRNA_chr2_1_178539804_178576557	nrna
A00839:75:H7MFFDSXY:3:1171:25274:4993	chr2	178566177	178566326	True	-257	150M	255	0	25	0.1777956336736679	ambig_opp_strand	unspliced	12994	44	RIGEL_NRNA_chr2_1_178539804_178576557		RIGEL_NRNA_chr2_1_178539804_178576557	nrna
A00839:75:H7MFFDSXY:3:1224:4010:5682	chr2	178561094	178561243	False	494	150M	255	0	5	0.8578874468803406	ambig_opp_strand	unspliced	-1	44	.	.	.	mrna
A00839:75:H7MFFDSXY:3:1149:5095:29105	chr2	178561499	178561648	False	150	150M	255	0	3	0.08466000109910965	ambig_opp_strand	unspliced	12994	44	ENST00000460472.6	TTN	ENSG00000155657.29	mrna
A00839:75:H7MFFDSXY:3:1572:24008:4805	chr2	178561721	178561870	False	199	150M	255	0	25	0.744020402431488	ambig_opp_strand	unspliced	12994	44	RIGEL_NRNA_chr2_2_178525988_178804642		RIGEL_NRNA_chr2_2_178525988_178804642	nrna
A00839:75:H7MFFDSXY:3:2426:26901:16955	chr2	178562248	178562397	False	391	150M	255	0	5	0.8708837032318115	ambig_opp_strand	unspliced	-1	44	.	.	.	mrna
A00839:75:H7MFFDSXY:3:2257:27679:22153	chr2	178569797	178569946	True	-266	150M	255	0	25	0.1715623140335083	ambig_opp_strand	unspliced	12994	44	RIGEL_NRNA_chr2_1_178541746_178597681		RIGEL_NRNA_chr2_1_178541746_178597681	nrna
A00839:75:H7MFFDSXY:3:1408:8639:12226	chr2	178565149	178565298	True	-193	150M	255	0	25	0.17295333743095398	ambig_opp_strand	unspliced	12994	44	RIGEL_NRNA_chr2_1_178541746_178597681		RIGEL_NRNA_chr2_1_178541746_178597681	nrna
A00839:75:H7MFFDSXY:3:1252:12970:12900	chr2	178568791	178568940	True	-554	150M	255	0	5	0.5670899748802185	ambig_opp_strand	unspliced	-1	44	.	.	.	mrna
A00839:75:H7MFFDSXY:3:2459:19551:18756	chr2	178566588	178566737	True	-279	150M	255	0	25	0.16417215764522552	ambig_opp_strand	unspliced	12994	44	RIGEL_NRNA_chr2_1_178540115_178582663		RIGEL_NRNA_chr2_1_178540115_178582663	nrna
A00839:75:H7MFFDSXY:3:2227:8874:11162	chr2	178561348	178561497	True	-303	150M	255	0	25	0.200662299990654	ambig_opp_strand	unspliced	12994	44	RIGEL_NRNA_chr2_1_178523417_178776534		RIGEL_NRNA_chr2_1_178523417_178776534	nrna
A00839:75:H7MFFDSXY:3:2309:13114:27774	chr2	178569054	178569203	True	-459	150M	255	0	25	0.051975686103105545	ambig_opp_strand	unspliced	12994	44	RIGEL_NRNA_chr2_1_178523417_178776534		RIGEL_NRNA_chr2_1_178523417_178776534	nrna
A00839:75:H7MFFDSXY:3:2548:9670:3803	chr2	178566892	178567041	False	436	150M	255	1	25	0.11162814497947693	ambig_opp_strand	unspliced	12994	44	RIGEL_NRNA_chr2_2_178525988_178804642		RIGEL_NRNA_chr2_2_178525988_178804642	nrna
A00839:75:H7MFFDSXY:3:2467:31159:8484	chr2	178563556	178563705	False	271	150M	255	0	3	0.08887061476707458	ambig_opp_strand	unspliced	12994	44	ENST00000460472.6	TTN	ENSG00000155657.29	mrna
A00839:75:H7MFFDSXY:3:2216:16577:24001	chr2	178560468	178560610	False	143	143M	255	0	25	0.6837610602378845	ambig_opp_strand	unspliced	12994	44	RIGEL_NRNA_chr2_2_178525988_178804642		RIGEL_NRNA_chr2_2_178525988_178804642	nrna
A00839:75:H7MFFDSXY:3:2220:15573:29716	chr2	178566249	178566398	False	257	150M	255	1	25	0.7362647652626038	ambig_opp_strand	unspliced	12994	44	RIGEL_NRNA_chr2_2_178525988_178804642		RIGEL_NRNA_chr2_2_178525988_178804642	nrna
A00839:75:H7MFFDSXY:3:1446:22670:11381	chr2	178565141	178565290	False	319	150M	255	0	25	0.6273561716079712	ambig_opp_strand	unspliced	12994	44	RIGEL_NRNA_chr2_2_178525988_178804642		RIGEL_NRNA_chr2_2_178525988_178804642	nrna
A00839:75:H7MFFDSXY:3:1219:27507:2253	chr2	178567474	178567623	True	-395	150M	255	0	5	0.7561866044998169	ambig_opp_strand	unspliced	-1	44	.	.	.	mrna
A00839:75:H7MFFDSXY:3:2558:30544:6073	chr2	178565560	178565709	False	191	150M	255	0	25	0.7410321831703186	ambig_opp_strand	unspliced	12994	44	RIGEL_NRNA_chr2_2_178525988_178804642		RIGEL_NRNA_chr2_2_178525988_178804642	nrna
A00839:75:H7MFFDSXY:3:1170:30074:23766	chr2	178569266	178569415	True	-311	150M	255	0	25	0.16241495311260223	ambig_opp_strand	unspliced	12994	44	RIGEL_NRNA_chr2_1_178541746_178597681		RIGEL_NRNA_chr2_1_178541746_178597681	nrna
A00839:75:H7MFFDSXY:3:2523:5159:9424	chr2	178560237	178560386	True	-412	150M	255	2	5	0.7513972520828247	ambig_opp_strand	unspliced	-1	44	.	.	.	mrna
A00839:75:H7MFFDSXY:3:2175:25084:21637	chr2	178568043	178568192	True	-245	150M	255	0	25	0.21009887754917145	ambig_opp_strand	unspliced	12994	44	RIGEL_NRNA_chr2_1_178523417_178776534		RIGEL_NRNA_chr2_1_178523417_178776534	nrna
A00839:75:H7MFFDSXY:3:1371:8838:36526	chr2	178569131	178569280	True	-205	150M	255	0	25	0.21045508980751038	ambig_opp_strand	unspliced	12994	44	RIGEL_NRNA_chr2_1_178523417_178776534		RIGEL_NRNA_chr2_1_178523417_178776534	nrna
