qname	chrom	pos	end	is_reverse	tlen	cigar	mapq	nm	zf	zw	zc	zs	zl	zn	zt	zr	zg	pred
A00839:75:H7MFFDSXY:3:1244:30129:7764	chr1	152351318	152351466	True	-374	149M	255	0	5	0.8575143218040466	ambig_opp_strand	unspliced	-1	12	.	.	.	mrna
A00839:75:H7MFFDSXY:3:1436:25536:12712	chr1	152350515	152350664	False	357	150M	255	0	25	0.06421361863613129	ambig_opp_strand	unspliced	1437	12	RIGEL_NRNA_chr1_2_152348734_152360006		RIGEL_NRNA_chr1_2_152348734_152360006	nrna
A00839:75:H7MFFDSXY:3:2130:1289:21762	chr1	152353414	152353563	True	-177	150M	255	1	25	0.798764705657959	ambig_opp_strand	unspliced	1437	12	RIGEL_NRNA_chr1_1_152335378_152364080		RIGEL_NRNA_chr1_1_152335378_152364080	nrna
A00839:75:H7MFFDSXY:3:2674:3161:10441	chr1	152351849	152351998	True	-282	150M	255	0	5	0.18171168863773346	ambig_opp_strand	unspliced	-1	12	.	.	.	mrna
A00839:75:H7MFFDSXY:3:1350:16432:18302	chr1	152355241	152355344	True	-335	104M	255	0	5	0.47509104013442993	ambig_opp_strand	unspliced	-1	12	.	.	.	mrna
A00839:75:H7MFFDSXY:3:1444:14199:16752	chr1	152354690	152354839	True	-356	150M	255	0	5	0.690138578414917	ambig_opp_strand	unspliced	-1	12	.	.	.	mrna
A00839:75:H7MFFDSXY:3:1212:11505:14935	chr1	152353745	152353894	False	391	150M	255	0	3	0.20437195897102356	ambig_opp_strand	unspliced	1437	12	ENST00000388718.5	FLG2	ENSG00000143520.6	mrna
A00839:75:H7MFFDSXY:3:2653:9552:11710	chr1	152355518	152355666	False	380	149M	255	1	3	0.3049459755420685	ambig_opp_strand	unspliced	1437	12	ENST00000388718.5	FLG2	ENSG00000143520.6	mrna
A00839:75:H7MFFDSXY:3:1575:23231:1329	chr1	152355025	152355129	False	336	105M	255	0	3	0.7415010929107666	ambig_opp_strand	unspliced	1437	12	ENST00000388718.5	FLG2	ENSG00000143520.6	mrna
A00839:75:H7MFFDSXY:3:2460:13259:18067	chr1	152354270	152354419	True	-376	150M	255	0	5	0.8684737086296082	ambig_opp_strand	unspliced	-1	12	.	.	.	mrna
A00839:75:H7MFFDSXY:3:2340:29279:21699	chr1	152354513	152354662	True	-295	150M	255	0	25	0.713703989982605	ambig_opp_strand	unspliced	1437	12	RIGEL_NRNA_chr1_1_152335378_152364080		RIGEL_NRNA_chr1_1_152335378_152364080	nrna
A00839:75:H7MFFDSXY:3:2320:16477:9549	chr1	152356451	152356600	False	348	150M	255	0	3	0.6638316512107849	ambig_opp_strand	unspliced	1437	12	ENST00000388718.5	FLG2	ENSG00000143520.6	mrna
A00839:75:H7MFFDSXY:3:1135:27841:23876	chr1	152353794	152353943	False	410	150M	255	0	5	0.7620163559913635	ambig_opp_strand	unspliced	-1	12	.	.	.	mrna
