qname	chrom	pos	end	is_reverse	tlen	cigar	mapq	nm	zf	zw	zc	zs	zl	zn	zt	zr	zg	pred
A00839:75:H7MFFDSXY:3:2405:17987:35650	chr9	76703781	76703930	False	236	150M	255	0	3	0.6877070069313049	ambig_opp_strand	unspliced	22928	12	ENST00000426088.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:1537:18267:3223	chr9	76704934	76705083	True	-397	150M	255	0	5	0.9935970902442932	ambig_opp_strand	unspliced	-1	12	.	.	.	mrna
A00839:75:H7MFFDSXY:3:2552:15664:1313	chr9	76709287	76709436	True	-315	150M	255	7	25	0.930678129196167	ambig_opp_strand	unspliced	22928	19	RIGEL_NRNA_chr9_1_76704847_76710661		RIGEL_NRNA_chr9_1_76704847_76710661	nrna
A00839:75:H7MFFDSXY:3:1208:28565:28698	chr9	76707887	76708036	True	-510	150M	255	0	5	0.5688333511352539	ambig_opp_strand	unspliced	-1	19	.	.	.	mrna
A00839:75:H7MFFDSXY:3:1443:30309:26396	chr9	76707124	76707273	False	244	150M	255	1	3	0.6876394748687744	ambig_opp_strand	unspliced	22928	19	ENST00000426088.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:1415:18322:17409	chr9	76703799	76703948	False	228	150M	255	0	3	0.6877219676971436	ambig_opp_strand	unspliced	22928	12	ENST00000426088.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:2111:11116:16391	chr9	76707911	76708060	False	198	150M	255	0	3	0.6876615881919861	ambig_opp_strand	unspliced	22928	19	ENST00000426088.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:1675:2835:29387	chr9	76703572	76703721	True	-305	150M	255	0	3	0.12405794858932495	ambig_opp_strand	unspliced	22928	12	ENST00000426088.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:1278:27905:9079	chr9	76707273	76707422	False	305	150M	255	0	3	0.6864070296287537	ambig_opp_strand	unspliced	22928	19	ENST00000426088.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:2143:13313:2973	chr9	76709420	76709569	True	-320	150M	255	1	25	0.9231412410736084	ambig_opp_strand	unspliced	22928	19	RIGEL_NRNA_chr9_1_76704847_76710661		RIGEL_NRNA_chr9_1_76704847_76710661	nrna
A00839:75:H7MFFDSXY:3:1558:21034:34757	chr9	76708753	76708902	True	-332	150M	255	0	25	0.9001354575157166	ambig_opp_strand	unspliced	22928	19	RIGEL_NRNA_chr9_1_76704847_76710661		RIGEL_NRNA_chr9_1_76704847_76710661	nrna
A00839:75:H7MFFDSXY:3:1444:18385:7467	chr9	76705910	76706059	False	369	150M	255	1	3	0.19887767732143402	ambig_opp_strand	unspliced	22928	19	ENST00000428286.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:1642:3875:16313	chr9	76707126	76707275	True	-340	150M	255	1	25	0.8744586706161499	ambig_opp_strand	unspliced	22928	19	RIGEL_NRNA_chr9_1_76704847_76710661		RIGEL_NRNA_chr9_1_76704847_76710661	nrna
A00839:75:H7MFFDSXY:3:2311:12563:24690	chr9	76705617	76705766	True	-333	150M	255	1	25	0.8970156908035278	ambig_opp_strand	unspliced	22928	19	RIGEL_NRNA_chr9_1_76704847_76710661		RIGEL_NRNA_chr9_1_76704847_76710661	nrna
A00839:75:H7MFFDSXY:3:1235:21414:24737	chr9	76708079	76708199	True	-121	121M	255	0	25	0.893692672252655	ambig_opp_strand	unspliced	22928	19	RIGEL_NRNA_chr9_1_76704847_76710661		RIGEL_NRNA_chr9_1_76704847_76710661	nrna
A00839:75:H7MFFDSXY:3:1655:17327:8453	chr9	76705838	76705987	True	-267	150M	255	0	25	0.9609484076499939	ambig_opp_strand	unspliced	22928	19	RIGEL_NRNA_chr9_1_76704847_76710661		RIGEL_NRNA_chr9_1_76704847_76710661	nrna
A00839:75:H7MFFDSXY:3:1477:22363:28166	chr9	76709522	76709671	False	330	150M	255	0	3	0.10218260437250137	ambig_opp_strand	unspliced	22928	19	ENST00000376718.8	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:2350:21920:22357	chr9	76707162	76707311	False	234	150M	255	0	3	0.6876724362373352	ambig_opp_strand	unspliced	22928	19	ENST00000426088.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:2669:32696:4163	chr9	76706316	76706461	True	-415	146M4S	255	2	25	0.38808751106262207	ambig_opp_strand	unspliced	22928	19	RIGEL_NRNA_chr9_1_76704847_76710661		RIGEL_NRNA_chr9_1_76704847_76710661	nrna
A00839:75:H7MFFDSXY:3:1331:5909:28541	chr9	76706733	76706882	True	-273	150M	255	0	25	0.9593462347984314	ambig_opp_strand	unspliced	22928	19	RIGEL_NRNA_chr9_1_76704847_76710661		RIGEL_NRNA_chr9_1_76704847_76710661	nrna
A00839:75:H7MFFDSXY:3:1208:25762:35681	chr9	76708564	76708713	False	326	150M	255	0	3	0.6848673820495605	ambig_opp_strand	unspliced	22928	19	ENST00000426088.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:2554:4074:13902	chr9	76705106	76705255	False	290	150M	255	0	3	0.20504499971866608	ambig_opp_strand	unspliced	22928	26	ENST00000428286.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:1436:3360:33896	chr9	76707545	76707694	True	-274	150M	255	0	25	0.9587619304656982	ambig_opp_strand	unspliced	22928	19	RIGEL_NRNA_chr9_1_76704847_76710661		RIGEL_NRNA_chr9_1_76704847_76710661	nrna
A00839:75:H7MFFDSXY:3:2102:22137:28839	chr9	76703293	76703406	False	114	114M	255	0	5	0.9807612895965576	ambig_opp_strand	unspliced	-1	14	.	.	.	mrna
A00839:75:H7MFFDSXY:3:2362:6750:26522	chr9	76709041	76709190	True	-319	150M	255	0	5	0.056150052696466446	ambig_opp_strand	unspliced	-1	19	.	.	.	mrna
A00839:75:H7MFFDSXY:3:2527:7084:16172	chr9	76706487	76706636	True	-282	150M	255	0	25	0.9558839797973633	ambig_opp_strand	unspliced	22928	19	RIGEL_NRNA_chr9_1_76704847_76710661		RIGEL_NRNA_chr9_1_76704847_76710661	nrna
A00839:75:H7MFFDSXY:3:1166:14525:22670	chr9	76707889	76708038	False	276	150M	255	0	3	0.20513704419136047	ambig_opp_strand	unspliced	22928	19	ENST00000428286.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:1516:7401:25958	chr9	76709790	76709939	False	299	150M	255	1	3	0.20496247708797455	ambig_opp_strand	unspliced	22928	19	ENST00000428286.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:2430:15447:32189	chr9	76706474	76706623	True	-278	150M	255	0	25	0.9574102163314819	ambig_opp_strand	unspliced	22928	19	RIGEL_NRNA_chr9_1_76704847_76710661		RIGEL_NRNA_chr9_1_76704847_76710661	nrna
A00839:75:H7MFFDSXY:3:1560:20139:10128	chr9	76708306	76708455	True	-217	150M	255	0	25	0.9669448137283325	ambig_opp_strand	unspliced	22928	19	RIGEL_NRNA_chr9_1_76704847_76710661		RIGEL_NRNA_chr9_1_76704847_76710661	nrna
A00839:75:H7MFFDSXY:3:2524:9353:30154	chr9	76709179	76709316	False	340	59M12I79M	255	13	3	0.6826776266098022	ambig_opp_strand	unspliced	22928	19	ENST00000426088.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:1358:32217:21151	chr9	76703611	76703760	False	417	150M	255	0	5	0.10397784411907196	ambig_opp_strand	unspliced	-1	12	.	.	.	mrna
A00839:75:H7MFFDSXY:3:1102:24487:11678	chr9	76706820	76706937	True	-118	118M	255	0	25	0.8836389183998108	ambig_opp_strand	unspliced	22928	19	RIGEL_NRNA_chr9_1_76704847_76710661		RIGEL_NRNA_chr9_1_76704847_76710661	nrna
A00839:75:H7MFFDSXY:3:1364:8386:15984	chr9	76704811	76704960	True	-436	150M	255	0	5	0.9932050704956055	ambig_opp_strand	unspliced	-1	12	.	.	.	mrna
A00839:75:H7MFFDSXY:3:1402:9019:7905	chr9	76708759	76708908	True	-396	150M	255	0	5	0.6098655462265015	ambig_opp_strand	unspliced	-1	19	.	.	.	mrna
A00839:75:H7MFFDSXY:3:1659:4896:6558	chr9	76709293	76709442	False	265	150M	255	0	3	0.6874287128448486	ambig_opp_strand	unspliced	22928	19	ENST00000426088.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:1174:27028:8155	chr9	76705841	76705990	False	222	150M	255	0	3	0.6876906752586365	ambig_opp_strand	unspliced	22928	19	ENST00000426088.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:1244:21603:6997	chr9	76706581	76706730	True	-387	150M	255	0	25	0.4276972711086273	ambig_opp_strand	unspliced	22928	19	RIGEL_NRNA_chr9_1_76704847_76710661		RIGEL_NRNA_chr9_1_76704847_76710661	nrna
A00839:75:H7MFFDSXY:3:1219:16450:13604	chr9	76707262	76707411	True	-396	150M	255	0	5	0.609865665435791	ambig_opp_strand	unspliced	-1	19	.	.	.	mrna
A00839:75:H7MFFDSXY:3:1275:9082:1720	chr9	76706323	76706472	True	-166	150M	255	1	25	0.9602110385894775	ambig_opp_strand	unspliced	22928	19	RIGEL_NRNA_chr9_1_76704847_76710661		RIGEL_NRNA_chr9_1_76704847_76710661	nrna
A00839:75:H7MFFDSXY:3:1572:4896:34992	chr9	76705484	76705633	True	-299	150M	255	0	25	0.9466310143470764	ambig_opp_strand	unspliced	22928	19	RIGEL_NRNA_chr9_1_76704847_76710661		RIGEL_NRNA_chr9_1_76704847_76710661	nrna
A00839:75:H7MFFDSXY:3:2136:27968:27759	chr9	76708201	76708350	True	-195	150M	255	0	25	0.9656504392623901	ambig_opp_strand	unspliced	22928	19	RIGEL_NRNA_chr9_1_76704847_76710661		RIGEL_NRNA_chr9_1_76704847_76710661	nrna
A00839:75:H7MFFDSXY:3:2307:5602:30483	chr9	76704880	76705029	True	-318	150M	255	0	5	0.8549435138702393	ambig_opp_strand	unspliced	-1	12	.	.	.	mrna
A00839:75:H7MFFDSXY:3:2358:32949:7420	chr9	76706188	76706337	False	264	150M	255	0	3	0.687453031539917	ambig_opp_strand	unspliced	22928	19	ENST00000426088.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:1261:26775:29418	chr9	76704701	76704850	True	-324	150M	255	0	25	0.12243983149528503	ambig_opp_strand	unspliced	22928	12	RIGEL_NRNA_chr9_1_76700179_76740086		RIGEL_NRNA_chr9_1_76700179_76740086	nrna
A00839:75:H7MFFDSXY:3:1615:12391:1846	chr9	76704809	76704958	True	-241	150M	255	0	25	0.40628087520599365	ambig_opp_strand	unspliced	22928	12	RIGEL_NRNA_chr9_1_76700179_76740086		RIGEL_NRNA_chr9_1_76700179_76740086	nrna
A00839:75:H7MFFDSXY:3:1348:7952:18333	chr9	76708703	76708852	False	305	150M	255	0	3	0.6864070296287537	ambig_opp_strand	unspliced	22928	19	ENST00000426088.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:2669:31521:32910	chr9	76707198	76707347	False	311	150M	255	0	3	0.20477703213691711	ambig_opp_strand	unspliced	22928	19	ENST00000428286.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:1350:20039:2879	chr9	76703293	76703442	False	424	150M	255	0	5	0.9985745549201965	ambig_opp_strand	unspliced	-1	12	.	.	.	mrna
A00839:75:H7MFFDSXY:3:1167:18087:12054	chr9	76707297	76707446	False	276	150M	255	0	3	0.6872606873512268	ambig_opp_strand	unspliced	22928	19	ENST00000426088.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:2507:18041:22654	chr9	76707614	76707763	False	236	150M	255	1	3	0.20525988936424255	ambig_opp_strand	unspliced	22928	19	ENST00000428286.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:1163:16631:34428	chr9	76706534	76706683	True	-387	150M	255	0	5	0.5631632804870605	ambig_opp_strand	unspliced	-1	19	.	.	.	mrna
A00839:75:H7MFFDSXY:3:1610:2654:25880	chr9	76707956	76708105	True	-190	150M	255	0	25	0.9651673436164856	ambig_opp_strand	unspliced	22928	19	RIGEL_NRNA_chr9_1_76704847_76710661		RIGEL_NRNA_chr9_1_76704847_76710661	nrna
A00839:75:H7MFFDSXY:3:1637:23999:11772	chr9	76707169	76707318	False	432	150M	255	0	3	0.6252403855323792	ambig_opp_strand	unspliced	22928	19	ENST00000426088.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:1373:24777:9173	chr9	76705249	76705398	False	348	150M	255	0	3	0.20313389599323273	ambig_opp_strand	unspliced	22928	19	ENST00000428286.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:2539:10936:23218	chr9	76706730	76706879	True	-188	150M	255	0	25	0.9649474024772644	ambig_opp_strand	unspliced	22928	19	RIGEL_NRNA_chr9_1_76704847_76710661		RIGEL_NRNA_chr9_1_76704847_76710661	nrna
A00839:75:H7MFFDSXY:3:1658:25310:36088	chr9	76704806	76704955	False	360	150M	255	0	3	0.6748377084732056	ambig_opp_strand	unspliced	22928	14	ENST00000426088.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:1234:32190:27492	chr9	76703343	76703467	False	372	125M25S	255	2	3	0.6626895070075989	ambig_opp_strand	unspliced	22928	12	ENST00000426088.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:1554:21404:35117	chr9	76703392	76703554	True	-198	68M15D80M2S	255	16	3	0.22114337980747223	ambig_opp_strand	unspliced	22928	12	ENST00000426088.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:2170:23113:24580	chr9	76709110	76709237	False	435	128M21S	255	4	3	0.18821947276592255	ambig_opp_strand	unspliced	22928	19	ENST00000428286.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:1677:19786:34381	chr9	76705683	76705832	True	-326	150M	255	1	25	0.9126690626144409	ambig_opp_strand	unspliced	22928	19	RIGEL_NRNA_chr9_1_76704847_76710661		RIGEL_NRNA_chr9_1_76704847_76710661	nrna
A00839:75:H7MFFDSXY:3:2562:22318:14058	chr9	76708154	76708303	True	-156	150M	255	0	25	0.9558104872703552	ambig_opp_strand	unspliced	22928	19	RIGEL_NRNA_chr9_1_76704847_76710661		RIGEL_NRNA_chr9_1_76704847_76710661	nrna
A00839:75:H7MFFDSXY:3:1123:32280:33724	chr9	76707340	76707489	False	245	150M	255	0	3	0.6876381039619446	ambig_opp_strand	unspliced	22928	19	ENST00000426088.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:1624:17770:30076	chr9	76705448	76705597	False	357	150M	255	0	3	0.6766101121902466	ambig_opp_strand	unspliced	22928	19	ENST00000426088.5	PRUNE2	ENSG00000106772.19	mrna
A00839:75:H7MFFDSXY:3:2220:14235:29496	chr9	76705102	76705251	True	-352	150M	255	0	25	0.7787288427352905	ambig_opp_strand	unspliced	22928	22	RIGEL_NRNA_chr9_1_76704847_76710661		RIGEL_NRNA_chr9_1_76704847_76710661	nrna
A00839:75:H7MFFDSXY:3:2273:13349:28682	chr9	76709220	76709365	True	-352	4S146M	255	2	25	0.8140949010848999	ambig_opp_strand	unspliced	22928	19	RIGEL_NRNA_chr9_1_76704847_76710661		RIGEL_NRNA_chr9_1_76704847_76710661	nrna
