qname	chrom	pos	end	is_reverse	tlen	cigar	mapq	nm	zf	zw	zc	zs	zl	zn	zt	zr	zg	pred
A00839:75:H7MFFDSXY:3:1242:10330:18129	chr11	64263828	64263977	True	-328	150M	255	1	25	0.6993793845176697	ambig_same_strand	unspliced	4067	9	RIGEL_NRNA_chr11_1_64251529_64267923		RIGEL_NRNA_chr11_1_64251529_64267923	nrna
A00839:75:H7MFFDSXY:3:2240:9353:14935	chr11	64262578	64262727	True	-369	150M	255	0	5	0.7236267328262329	ambig_same_strand	unspliced	-1	7	.	.	.	mrna
A00839:75:H7MFFDSXY:3:1422:4083:27383	chr11	64265974	64266123	False	379	150M	255	0	5	0.9998448491096497	ambig_same_strand	unspliced	-1	7	.	.	.	mrna
A00839:75:H7MFFDSXY:3:1270:9055:24659	chr11	64261273	64261422	False	323	150M	255	0	5	0.9979296326637268	ambig_same_strand	unspliced	-1	7	.	.	.	mrna
A00839:75:H7MFFDSXY:3:1568:14525:1376	chr11	64261759	64261908	False	354	150M	255	0	5	0.9993974566459656	ambig_same_strand	unspliced	-1	7	.	.	.	mrna
A00839:75:H7MFFDSXY:3:2243:20835:31125	chr11	64264948	64265097	True	-404	150M	255	0	5	0.8946614861488342	ambig_same_strand	unspliced	-1	7	.	.	.	mrna
A00839:75:H7MFFDSXY:3:1371:7401:14309	chr11	64261303	64261452	False	313	150M	255	0	5	0.9972400069236755	ambig_same_strand	unspliced	-1	7	.	.	.	mrna
A00839:75:H7MFFDSXY:3:1170:1597:7607	chr11	64261848	64261997	False	325	150M	255	0	5	0.9980389475822449	ambig_same_strand	unspliced	-1	7	.	.	.	mrna
A00839:75:H7MFFDSXY:3:1330:26729:19914	chr11	64262526	64262675	False	247	150M	255	0	5	0.9903693199157715	ambig_same_strand	unspliced	-1	7	.	.	.	mrna
A00839:75:H7MFFDSXY:3:2338:16134:3098	chr11	64263936	64264085	False	296	150M	255	0	5	0.9956730604171753	ambig_same_strand	unspliced	-1	9	.	.	.	mrna
A00839:75:H7MFFDSXY:3:1202:31295:5462	chr11	64262689	64262838	False	240	150M	255	1	5	0.9897905588150024	ambig_same_strand	unspliced	-1	7	.	.	.	mrna
A00839:75:H7MFFDSXY:3:1412:16206:20917	chr11	64261969	64262118	False	315	150M	255	0	5	0.9973582029342651	ambig_same_strand	unspliced	-1	7	.	.	.	mrna
A00839:75:H7MFFDSXY:3:1276:3558:13667	chr11	64260087	64260236	False	224	150M	255	0	5	0.9892765283584595	ambig_same_strand	unspliced	-1	7	.	.	.	mrna
