region_id	subset	n	median_zw	median_fl_log_rna_over_gdna	median_strand_log_rna_over_gdna	median_abundance_log_rna_over_gdna	median_two_pool_p_rna_approx	p2_ge_90_rate
chr11_malat1_65500k_65510k	all_false_rna	3822	0.7057666778564453	-0.29023851370886344	0.6923958984181775	3.727721945600333	0.9864419673431372	0.9845630559916274
chr11_malat1_65500k_65510k	ambiguous_unspliced	3758	0.699927806854248	-0.29023851370886344	0.6923958984181775	3.727721945600333	0.9864456403384106	0.9888238424693986
chrx_ar_67540k_67550k	all_false_rna	3270	0.32252708077430725	-0.27447224963064	0.6923958984181775	4.254548321927892	0.9833418952079196	0.7666666666666667
chrx_ar_67540k_67550k	ambiguous_unspliced	3266	0.32236282527446747	-0.27447224963064	0.6923958984181775	4.254548321927892	0.9833786060346664	0.7676056338028169
chr2_long_nrna_178530k_178620k	all_false_rna	18664	0.2573135644197464	-0.12913551346477004	0.6923958984181775	0.9508348568628011	0.8244862497328189	0.20199314187741105
chr2_long_nrna_178530k_178620k	ambiguous_unspliced	18452	0.256533607840538	-0.12913551346477004	0.6923958984181775	0.9508348568628011	0.8251956014814489	0.20176674615217863
chr1_flg2_152350k_152360k	all_false_rna	2868	0.7931538224220276	-0.09229648576477345	0.6923958984181775	2.1178022952737217	0.8548455260657793	0.3528591352859135
chr1_flg2_152350k_152360k	ambiguous_unspliced	2847	0.7924413681030273	-0.09750937164255369	0.6923958984181775	2.1178022952737217	0.8536831589585291	0.3498419388830348
chr9_znf462_106920k_106930k	all_false_rna	2839	0.5530707240104675	-0.205230235272162	0.6923958984181775	6.12889080347258	0.9968784263211701	0.7580133849947165
chr9_znf462_106920k_106930k	ambiguous_unspliced	2839	0.5530707240104675	-0.205230235272162	0.6923958984181775	6.12889080347258	0.9968784263211701	0.7580133849947165
