flowcell	true_source	predicted_pool	predicted_detail	zc	zs	count
H7MFFDSXY	gdna	rna	nrna	ambig_same_strand	unspliced	1224147
H7MFFDSXY	gdna	rna	mrna	ambig_same_strand	unspliced	848745
H7MFFDSXY	gdna	rna	nrna	ambig_opp_strand	unspliced	462095
C6EL5ANXX	rna	gdna	gdna	ambig_same_strand	unspliced	373766
H7MFFDSXY	gdna	rna	mrna	ambig_opp_strand	unspliced	201730
H7MFFDSXY	gdna	unresolved	unresolved	missing	missing	147858
H7MFFDSXY	gdna	unresolved	unresolved	.	unspliced	145027
C6EL5ANXX	rna	unresolved	unresolved	missing	missing	98133
C6EL5ANXX	rna	gdna	gdna	ambig_opp_strand	unspliced	63104
H7MFFDSXY	gdna	rna	nrna	ambig_same_strand	spliced_implicit	42163
H7MFFDSXY	gdna	rna	nrna	unambig	unspliced	34686
H7MFFDSXY	gdna	rna	nrna	multimapper	unspliced	19914
C6EL5ANXX	rna	unresolved	unresolved	.	spliced_annot	11966
C6EL5ANXX	rna	unresolved	unresolved	.	unspliced	11703
H7MFFDSXY	gdna	rna	nrna	multimapper	spliced_annot	11084
C6EL5ANXX	rna	gdna	gdna	unambig	unspliced	9574
C6EL5ANXX	rna	gdna	gdna	.	unknown	9491
H7MFFDSXY	gdna	rna	mrna	ambig_same_strand	spliced_annot	9159
H7MFFDSXY	gdna	rna	nrna	ambig_opp_strand	spliced_implicit	6867
H7MFFDSXY	gdna	rna	mrna	multimapper	unspliced	6387
H7MFFDSXY	gdna	rna	mrna	ambig_same_strand	spliced_implicit	6356
H7MFFDSXY	gdna	rna	mrna	multimapper	spliced_annot	4358
H7MFFDSXY	gdna	rna	nrna	ambig_same_strand	spliced_unannot	4225
H7MFFDSXY	gdna	rna	nrna	multimapper	spliced_unannot	3735
H7MFFDSXY	gdna	rna	mrna	unambig	spliced_annot	3506
H7MFFDSXY	gdna	unresolved	unresolved	.	spliced_unannot	3391
C6EL5ANXX	rna	gdna	gdna	multimapper	unspliced	3177
C6EL5ANXX	rna	unresolved	unresolved	.	spliced_unannot	2545
H7MFFDSXY	gdna	rna	mrna	ambig_same_strand	spliced_unannot	1732
H7MFFDSXY	gdna	rna	mrna	ambig_opp_strand	spliced_implicit	1623
H7MFFDSXY	gdna	rna	mrna	multimapper	spliced_unannot	1300
H7MFFDSXY	gdna	rna	nrna	ambig_opp_strand	spliced_unannot	563
H7MFFDSXY	gdna	unresolved	unresolved	.	spliced_annot	186
H7MFFDSXY	gdna	rna	nrna	unambig	spliced_unannot	153
H7MFFDSXY	gdna	rna	mrna	ambig_opp_strand	spliced_unannot	143
